Date,Title,Url,Content,Google_noti,Xml_url,Content_len,Content_tokens,sentiment,summary,is_summary_same,content_len,summary_len
"March 24, 2025 at 09:50AM",BBC Press Office needs to clarify Blue Peter situation - Clean Feed,https://cleanfeed.thetvroom.com/22559/opinion/bbc-press-office-needs-to-clarify-blue-peter-situation/,A textbook example is unfolding of a self-inflicted PR problem at the BBC.,Google ¾Ë¸®¹Ì - bbc,https://www.google.com/alerts/feeds/04099981309852891625/12337730200887050718,74,"['textbook', 'example', 'unfolding', 'self-inflicted', 'pr', 'problem', 'bbc.']",NEGATIVE,A textbook example is unfolding of a self-inflicted PR problem at the BBC.,True,13,13
"March 24, 2025 at 10:38AM",BBC Radio 1 legend Andy Peebles dies as colleagues say 'raise your bat' - Nottinghamshire Live,https://www.nottinghampost.com/news/celebs-tv/bbc-radio-1-legend-andy-10047411,"The DJ and presenter has died at the age of 76, his friends and colleagues have confirmed. The star was a mainstay on BBC Radio 1 from 1978 to&nbsp;...",Google ¾Ë¸®¹Ì - bbc,https://www.google.com/alerts/feeds/04099981309852891625/12337730200887050718,151,"['dj', 'presenter', 'died', 'age', '76,', 'friends', 'colleagues', 'confirmed.', 'star', 'mainstay', 'bbc', 'radio', '1', '1978', 'to&nbsp;...']",POSITIVE,"The DJ and presenter has died at the age of 76, his friends and colleagues have confirmed. The star was a mainstay on BBC Radio 1 from 1978 to&nbsp;...",True,29,29
"March 24, 2025 at 11:21AM",BBC in grovelling Scotland vs Greece apology over missing commentary - Daily Record,https://www.dailyrecord.co.uk/sport/football/football-news/bbc-grovelling-scotland-vs-greece-34916838,The Tartan Army tuning in for the first Hampden match live on the BBC were left in disbelief by a string of audio errors.,Google ¾Ë¸®¹Ì - bbc,https://www.google.com/alerts/feeds/04099981309852891625/12337730200887050718,121,"['tartan', 'army', 'tuning', 'first', 'hampden', 'match', 'live', 'bbc', 'left', 'disbelief', 'string', 'audio', 'errors.']",NEGATIVE,The Tartan Army tuning in for the first Hampden match live on the BBC were left in disbelief by a string of audio errors.,True,24,24
"March 24, 2025 at 11:26AM",BBC reveal real reason stars haven't worked together in three months after rumoured 'feud',https://www.express.co.uk/showbiz/tv-radio/2031338/bbc-stars-feud-refuse-work-reason,"BBC Today stars Nick Robinson, 61, and Emma Barnett, 40, have only worked together a handful of times with speculation swirling as to why.",Google ¾Ë¸®¹Ì - bbc,https://www.google.com/alerts/feeds/04099981309852891625/12337730200887050718,138,"['bbc', 'today', 'stars', 'nick', 'robinson,', '61,', 'emma', 'barnett,', '40,', 'worked', 'together', 'handful', 'times', 'speculation', 'swirling', 'why.']",NEGATIVE,"BBC Today stars Nick Robinson, 61, and Emma Barnett, 40, have only worked together a handful of times with speculation swirling as to why.",True,24,24
"March 24, 2025 at 12:47PM",Wynne Evans 'axed' from GoCompare ads amid BBC Strictly star's 'misconduct' scandal,https://www.gbnews.com/celebrity/wynne-evans-gocompare-ads-axe-bbc-strictly-misconduct-scandal,... BBC Strictly star&39;s &39;misconduct&39; scandal. ¡¿. WATCH HERE: Wynne Evans discussing his time on Strictly after being eliminated. BBC. Marcus Donaldson. By&nbsp;...,Google ¾Ë¸®¹Ì - bbc,https://www.google.com/alerts/feeds/04099981309852891625/12337730200887050718,173,"['...', 'bbc', 'strictly', 'star&39;s', '&39;misconduct&39;', 'scandal.', '¡¿.', 'watch', 'here:', 'wynne', 'evans', 'discussing', 'time', 'strictly', 'eliminated.', 'bbc.', 'marcus', 'donaldson.', 'by&nbsp;...']",POSITIVE,... BBC Strictly star&39;s &39;misconduct&39; scandal. ¡¿. WATCH HERE: Wynne Evans discussing his time on Strictly after being eliminated. BBC. Marcus Donaldson. By&nbsp;...,True,23,23
"March 24, 2025 at 01:16PM",BBC This City is Ours star Sean Bean makes special Liverpool admission as he left set 'really upset',https://www.liverpoolecho.co.uk/news/tv/bbc-city-ours-star-sean-31262745,"The 65-year-old plays Ronnie Phelan in the eight part series, which has has been penned by Kirkby&39;s Stephen Butchard and airs at 9pm on BBC One&nbsp;...",Google ¾Ë¸®¹Ì - bbc,https://www.google.com/alerts/feeds/04099981309852891625/12337730200887050718,155,"['65-year-old', 'plays', 'ronnie', 'phelan', 'eight', 'part', 'series,', 'penned', 'kirkby&39;s', 'stephen', 'butchard', 'airs', '9pm', 'bbc', 'one&nbsp;...']",POSITIVE,"The 65-year-old plays Ronnie Phelan in the eight part series, which has has been penned by Kirkby&39;s Stephen Butchard and airs at 9pm on BBC One&nbsp;...",True,26,26
"March 24, 2025 at 02:24PM",BBC Radio 1 legend Andy Peebles dies suddenly aged 76 as devastated colleagues pay ...,https://www.thesun.co.uk/tvandshowbiz/33995841/radio-one-star-dies-andy-peebles/,"FORMER BBC Radio 1 DJ Andy Peebles, the final interviewer of John Lennon, has died aged 76, his family have confirmed.Colleagues and friends have&nbsp;...",Google ¾Ë¸®¹Ì - bbc,https://www.google.com/alerts/feeds/04099981309852891625/12337730200887050718,154,"['former', 'bbc', 'radio', '1', 'dj', 'andy', 'peebles,', 'final', 'interviewer', 'john', 'lennon,', 'died', 'aged', '76,', 'family', 'confirmed.colleagues', 'friends', 'have&nbsp;...']",POSITIVE,"FORMER BBC Radio 1 DJ Andy Peebles, the final interviewer of John Lennon, has died aged 76, his family have confirmed.Colleagues and friends have&nbsp;...",True,24,24
"March 24, 2025 at 03:39PM",BBC forced into grovelling apology seconds into crucial Scotland vs Greece clash,https://www.mirror.co.uk/sport/football/news/scotland-greece-bbc-commentary-nations-34917060,Scotland fans tuned into the BBC expecting live coverage of their key UEFA Nations League clash with Greece at Hampden Park but the channel were&nbsp;...,Google ¾Ë¸®¹Ì - bbc,https://www.google.com/alerts/feeds/04099981309852891625/12337730200887050718,153,"['scotland', 'fans', 'tuned', 'bbc', 'expecting', 'live', 'coverage', 'key', 'uefa', 'nations', 'league', 'clash', 'greece', 'hampden', 'park', 'channel', 'were&nbsp;...']",NEGATIVE,Scotland fans tuned into the BBC expecting live coverage of their key UEFA Nations League clash with Greece at Hampden Park but the channel were&nbsp;...,True,25,25
"March 24, 2025 at 04:00PM",Former BBC Radio 1 DJ Andy Peebles dies aged 76 - RTE,https://www.rte.ie/entertainment/2025/0323/1503594-former-bbc-radio-1-dj-andy-peebles-dies-aged-76/,"Former BBC Radio 1 DJ Andy Peebles, the final interviewer of John Lennon, has died aged 76, his family have confirmed.",Google ¾Ë¸®¹Ì - bbc,https://www.google.com/alerts/feeds/04099981309852891625/12337730200887050718,118,"['former', 'bbc', 'radio', '1', 'dj', 'andy', 'peebles,', 'final', 'interviewer', 'john', 'lennon,', 'died', 'aged', '76,', 'family', 'confirmed.']",POSITIVE,"Former BBC Radio 1 DJ Andy Peebles, the final interviewer of John Lennon, has died aged 76, his family have confirmed.",True,21,21
"March 24, 2025 at 04:01PM",The terrifying BBC hidden gem fans can't stop binge-watching - Daily Mail,https://www.dailymail.co.uk/tv/article-14515597/BBC-hidden-gem-binge-watching-Black-Mirror-smartphone.html,Horror fans have been left hooked by a BBC hidden gem that will leave you terrified of your smartphone. Advertisement.,Google ¾Ë¸®¹Ì - bbc,https://www.google.com/alerts/feeds/04099981309852891625/12337730200887050718,118,"['horror', 'fans', 'left', 'hooked', 'bbc', 'hidden', 'gem', 'leave', 'terrified', 'smartphone.', 'advertisement.']",NEGATIVE,Horror fans have been left hooked by a BBC hidden gem that will leave you terrified of your smartphone. Advertisement.,True,20,20
